segment_id,day_avg,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
103616356105,42,41,45,44,39,44,41,44,45,42,43,48,38,42,39,40,42,43,43,46,44,41,40,40,46
62109523721,34,34,,,,,,41,34,37,38,17,32,,35,33,36,35,36,42,35,,,,
144988717792,61,50,70,55,77,58,52,55,60,56,63,66,64,56,62,58,55,60,60,70,56,58,59,80,55
245853340384,33,26,34,26,37,51,36,36,33,33,33,32,29,36,43,32,37,34,20,25,39,30,27,17,39
243940990729,32,39,32,30,30,27,,61,32,32,33,32,34,35,39,39,33,35,38,18,29,30,28,28,41
238605836041,51,31,34,33,36,37,16,32,32,64,39,42,54,39,56,42,45,37,105,32,49,42,77,31,53
222600371977,36,37,42,39,44,40,25,39,38,40,39,34,39,37,31,31,50,35,34,33,40,30,33,37,37
217265217289,36,52,44,42,38,35,44,42,38,35,39,36,36,38,39,35,36,33,33,33,34,41,34,33,35
211930062601,34,,,,,,,,,,,88,,28,,,30,29,33,,,33,,,33
206594907913,30,,,,,,,38,,,19,,27,,15,,,,,53,20,,47,,35
201259753225,41,,,,,,,,,40,45,42,,31,,,,,,,32,,77,,
195924598537,37,32,51,22,24,43,27,56,48,51,29,46,42,31,38,43,40,38,32,28,36,35,36,29,34
190589443849,62,59,85,66,60,63,62,67,68,65,64,63,64,60,70,62,58,61,61,58,59,60,64,62,56
179919134473,52,42,70,49,51,34,72,56,70,52,66,68,49,64,59,44,47,60,46,44,52,47,43,54,46
194213322505,30,23,,,,,,,,,21,53,28,,31,28,,18,38,26,,35,39,,41
142573051657,44,39,48,,40,,,,,,49,40,44,42,45,38,59,44,40,42,,46,40,39,35
137237896969,19,,,,,,,,28,26,33,15,,6,,3,4,,,19,,19,18,,
131902742281,45,,,,,,,54,,46,37,51,,44,,48,41,,,,44,41,50,,
105293824736,49,57,42,34,60,48,45,55,39,40,47,47,69,46,52,41,47,45,45,52,40,53,52,43,42
115897278217,69,75,,68,,,,67,71,75,64,94,49,85,54,43,113,79,56,52,94,58,66,51,57
110562123529,48,56,47,51,57,53,55,55,48,48,56,47,46,45,43,44,43,46,46,47,44,41,43,47,51
326518194912,49,56,90,74,54,54,39,55,37,42,50,47,48,51,57,48,36,36,49,46,60,51,44,38,56
94556659465,67,,,,,,,,63,102,,,52,57,,48,,97,,60,,,66,,
310512730848,29,29,32,31,35,31,30,29,32,33,30,29,30,28,28,28,32,31,30,20,25,30,29,32,28
305177576160,60,61,69,67,61,72,76,54,66,73,74,59,57,55,53,56,67,51,47,57,50,56,60,61,60
299842421472,43,,,,,,,,,39,,,,,,,45,,,,,,,,
294507266784,49,45,48,43,38,41,58,63,36,42,45,47,45,49,44,44,51,45,44,125,36,66,49,31,41
289172112096,38,45,43,47,46,43,43,52,46,40,39,37,36,33,40,35,32,35,35,31,30,34,34,33,35
283836957408,71,95,,,,,,,,,,67,,,,,,,44,,,74,78,,
278501802720,53,54,59,58,54,54,56,63,55,49,54,47,52,51,48,47,57,54,52,45,49,62,56,47,59
46540267273,21,,,,,,,20,24,22,21,22,18,18,23,20,,26,21,,20,,20,,
267831493344,69,68,69,74,69,70,73,71,71,70,70,69,68,70,68,71,68,67,69,69,67,65,65,68,71
262496338656,41,35,50,33,,38,25,68,97,30,55,39,38,27,47,55,37,36,44,54,43,40,37,31,40
257161183968,38,46,44,46,42,45,50,43,40,38,38,35,36,33,29,41,34,41,36,42,35,33,32,43,41
251826029280,54,56,57,59,56,53,60,59,55,57,53,55,53,50,51,54,56,54,53,52,52,50,53,56,56
246490874592,43,40,76,,,,,45,46,45,46,45,39,36,39,37,45,45,40,52,45,40,45,40,36
241155719904,62,70,63,68,57,72,,62,60,60,63,56,71,59,69,59,57,74,59,56,60,56,60,55,56
51439214345,31,35,34,,,,,,26,50,34,30,51,28,32,20,36,30,28,25,18,29,28,29,36
271757361888,76,71,67,75,88,74,76,81,78,81,75,80,75,76,73,76,78,74,73,76,77,80,73,77,75
145122935520,93,83,91,100,,88,95,120,87,90,87,82,86,96,90,82,87,84,90,171,84,84,86,81,95
139787780832,69,67,85,70,76,70,66,58,70,74,67,75,77,69,66,67,62,65,81,67,66,67,65,64,67
129117471456,51,46,55,60,66,,,,60,55,48,52,45,54,55,59,53,53,53,48,48,49,48,49,49
123782316768,40,37,42,50,48,65,53,48,27,35,42,44,35,34,41,34,38,47,33,39,36,48,35,34,40
118447162080,64,54,56,60,63,68,68,66,68,65,67,69,62,67,66,67,64,68,65,62,63,60,56,60,59
113112007392,44,48,49,50,41,48,49,51,41,42,46,44,41,44,42,45,43,44,42,42,43,45,41,44,54
107776852704,80,81,80,81,94,80,91,79,91,82,80,78,82,78,86,77,82,80,79,80,78,80,77,73,78
102441698016,62,66,64,70,68,71,79,70,67,63,65,66,66,62,64,65,63,63,56,46,61,59,60,63,62
97106543328,58,52,78,82,58,85,47,54,51,63,64,64,59,58,64,56,56,54,54,54,51,68,51,41,72
81101079264,40,33,36,46,37,42,35,40,39,42,37,36,39,42,44,42,45,40,36,39,37,41,38,35,47
75765924576,92,90,86,82,103,87,86,91,94,95,87,88,95,98,85,86,87,90,91,87,86,150,86,86,88
65095615200,36,23,25,31,29,36,,56,54,46,37,38,35,39,39,34,49,33,40,38,42,36,32,25,16
46104059657,28,41,31,26,,,35,32,33,29,28,32,22,27,20,35,26,22,24,30,33,32,28,27,26
266422207200,69,167,,,,41,,41,36,62,56,97,,42,62,50,57,74,,74,55,57,56,52,116
109488381705,45,50,54,56,36,44,47,40,40,52,49,53,50,45,46,45,41,37,40,45,40,41,38,45,48
123648099040,52,,,48,,89,,105,38,,43,47,42,125,50,58,50,32,46,59,32,47,45,66,
95462629129,22,25,,,,,,,,,21,,,,,17,27,,25,18,,21,,,
84725210889,78,,,,,,,,,55,70,100,78,89,66,,105,61,55,,,,,,
68719746825,35,,,,,,,,,,,35,,,,,,,,,,,,,
317659824864,36,37,41,44,41,39,36,39,38,35,38,41,34,30,34,35,31,30,32,36,32,44,34,42,36
285648896736,58,16,53,,,74,,,71,37,53,35,70,83,79,42,64,58,27,78,34,50,19,103,36
138512965385,44,58,41,50,,44,,38,40,41,44,63,49,37,35,30,45,39,47,35,30,77,38,34,36
83953205984,52,59,61,63,69,65,60,60,52,52,55,54,53,47,45,50,48,50,46,45,47,47,53,48,53
243202793225,62,54,46,,,54,,,,56,55,58,81,50,58,57,46,71,69,81,74,67,44,68,71
98818072329,30,24,,,,,,27,,,,,,,28,,47,,,,,,26,,
250416743136,43,57,,42,,,,,44,44,54,40,37,34,37,42,36,54,29,59,31,39,81,27,26
252060910304,25,,,,,,,30,,22,5,11,28,27,24,25,27,24,27,28,32,14,,39,53
294742147808,62,50,52,57,49,60,45,67,49,49,59,136,63,52,48,64,51,53,57,61,56,55,64,52,72
127842656009,36,38,37,34,33,33,31,39,35,35,36,35,36,36,35,34,34,36,36,34,35,40,35,40,37
223070134025,28,25,,29,,22,29,38,31,36,27,34,23,28,37,17,29,32,32,17,22,18,20,29,29
212399824649,41,41,36,28,40,44,,83,59,34,57,44,41,24,47,47,34,33,27,40,29,47,29,37,50
207064669961,49,21,,,,,,,,48,67,49,73,29,65,59,66,26,,42,,,,,52
201729515273,41,,,,,,,,,39,,,,,,,25,,,,58,27,,67,
73282896608,50,50,52,59,61,,52,58,60,64,54,56,48,48,46,43,59,47,41,42,42,46,46,51,47
191059205897,61,126,,55,61,,,,44,66,43,86,46,45,69,67,74,55,65,37,39,38,41,50,38
185724051209,34,35,37,37,,48,35,31,32,32,33,32,31,31,32,33,31,36,42,34,32,32,31,33,42
175053741833,34,28,24,44,33,,71,,40,45,23,16,30,25,34,42,29,31,,30,38,32,21,32,29
137707659017,30,,,,,,,,26,,31,33,31,31,29,29,31,,,,35,26,18,,
127037349641,29,29,29,31,32,29,26,27,28,28,27,30,36,27,30,28,29,31,29,28,30,25,30,28,35
116367040265,32,25,,,,,,,,,,,,,,,28,22,,52,,28,,,
105696730889,36,54,29,70,27,31,,66,50,32,35,26,28,40,38,26,26,27,32,47,29,39,34,47,31
326987956960,33,24,,30,,,39,,,38,35,39,37,45,30,31,27,34,29,25,31,37,31,27,39
95026421513,42,46,35,33,33,39,,46,38,34,42,43,54,39,37,52,42,39,39,37,50,40,49,44,51
316317647584,77,83,81,82,76,74,80,77,75,76,77,76,79,78,78,77,77,81,79,75,73,73,76,77,80
84356112137,41,43,,,,,,39,38,56,48,43,48,44,45,42,44,42,41,39,40,37,34,35,42
305647338208,37,,,,,,,,61,24,,,,40,,32,35,29,,,36,,,,
300312183520,58,53,69,67,,103,58,48,61,68,55,52,57,81,51,53,62,53,49,60,57,44,52,56,72
294977028832,36,41,32,39,,,,,42,35,45,40,44,25,48,56,29,40,36,33,31,30,39,26,24
289641874144,49,50,59,66,81,51,56,51,61,53,49,50,52,51,45,40,48,59,47,45,49,38,41,44,41
19428286217,33,35,36,35,35,38,44,42,34,33,38,32,43,26,30,27,28,30,33,29,27,30,27,33,34
52345184009,29,32,,,,,,,24,22,35,28,34,27,25,30,27,,29,28,24,28,31,,
273636410080,29,34,40,37,,42,37,,,32,40,57,32,30,33,29,29,28,22,26,23,24,24,26,29
262966100704,33,30,,,137,,,23,,,23,35,21,41,36,,30,18,56,21,,24,28,22,18
257630946016,69,76,76,69,71,74,74,66,69,69,72,67,71,69,69,72,68,70,66,66,68,68,71,69,66
67947741920,63,63,73,66,66,,77,62,69,71,67,64,60,64,63,67,59,57,62,52,61,60,59,58,60
241625481952,53,52,59,56,64,55,64,59,56,54,53,55,55,50,53,48,52,57,54,49,50,51,44,53,47
145592697568,50,62,55,55,58,61,63,56,59,51,39,53,49,50,53,51,38,42,46,37,48,47,41,45,68
124252078816,69,80,77,78,76,77,86,81,87,67,73,70,67,63,67,67,67,66,61,60,60,65,67,65,71
