segment_id,day_avg,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
36071284489,39,,,36,,,,,,,,37,,,35,,,,,,,56,,,36
263670743776,80,70,78,86,67,,78,88,108,82,98,75,117,79,76,80,74,79,75,79,93,73,69,81,76
35500859145,35,,,37,,,,,33,33,,45,33,40,,34,35,52,18,42,,32,,29,31
324538483424,34,45,35,,18,,,,,,,,,49,,,,36,,,,24,,,
46741593865,25,,,,,,,,,,,,,,,,,,,25,,,,,
30165704457,42,,,,,,,,,,48,,,,,48,,,21,40,,39,49,,
284843590368,48,54,,,,,,,,60,39,53,,,,,59,44,47,,52,44,38,39,43
235887927049,67,70,51,,,,48,61,,45,67,53,75,79,78,53,63,62,60,70,72,95,64,56,50
59190288137,47,,,,,,,,,,,,,,,52,43,,,49,46,,,43,
203876998921,33,36,,,,,,,,36,,29,,,,,36,35,,,29,,,,
279508435680,56,79,57,69,45,,59,77,55,59,53,61,51,54,60,54,57,71,52,48,56,52,53,54,58
123849678601,44,,,41,,,,,,,44,,44,44,38,51,42,53,40,39,35,52,47,,
118514523913,60,53,61,58,,,,,60,55,58,63,67,57,66,57,84,58,58,58,57,57,55,56,54
102509059849,38,,,,,,,,,,,,,,,,,,,,48,26,,,
81168441097,43,,,,,,,,,,44,39,,,44,44,43,,,,,,,,
302459667168,79,88,,75,77,78,,82,84,86,86,73,83,74,81,87,74,73,75,83,75,77,95,78,78
70498131721,38,54,,,,,,,,,,39,,,,32,,45,35,,34,37,24,42,
53855133449,35,,,,,,,,,,,40,37,,29,,,,,,,,,,
270448739040,53,59,,,,,,,,,,,,,,34,,,,,,,,71,
265113584352,60,59,,69,60,,71,63,76,60,63,60,82,56,55,55,54,56,55,66,52,48,50,54,78
102374589152,62,48,,,,,73,51,56,70,59,51,70,59,50,58,62,61,48,91,76,73,56,50,55
137069871840,52,58,,,,,,,,,,,55,,,,43,,,,,,,,
121064407776,66,74,,,75,,,,,67,106,,56,64,59,,,74,,55,70,61,53,,78
151599193865,27,,,,,,,,,,,,,,,,,,,,,,,27,
268838126304,69,76,,65,,,,,,,,,86,67,,67,69,72,68,65,66,69,67,71,56
78383170272,52,52,57,,,,,,68,61,58,50,48,46,51,42,44,57,52,46,51,53,50,52,56
43184824073,62,,,,,,,,,,,,87,,46,55,,,,,,,,64,
263502971616,83,78,,62,,,82,95,80,82,81,85,83,91,81,82,84,85,82,85,74,85,105,80,76
244008099593,51,50,,,,,,,,,,,,,,54,,,,,,,,,
29763051273,30,,,,,,,,,,,,,,,22,,,,,,,41,,
258167816928,63,57,,,,,,,,57,,,44,73,80,61,,35,187,45,59,47,59,66,
294708593376,46,55,,,,,,,60,,,20,,,,,,,,,,,,,
101233991433,48,47,,,,,,,,55,41,74,66,46,50,44,43,58,,41,39,31,42,,
252832662240,38,43,44,,,,,,,,,,,,,38,38,38,29,43,,40,36,,
130258575113,44,,,,,,,,,,,,,,,,,,,,,44,,,
