segment_id,day_avg,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
68082212617,35,,,35,34,,,,41,,,38,32,47,32,29,50,34,31,30,29,,37,35,
263670743776,61,81,71,69,90,95,78,77,79,95,77,79,68,32,37,41,52,35,70,36,61,53,40,39,77
69860597513,61,61,,63,,,,,,60,60,54,55,56,56,58,57,,60,156,57,49,51,57,61
290178745056,47,49,36,47,61,85,52,66,20,64,30,49,47,50,53,40,52,48,40,44,46,52,43,47,58
64525442825,37,,,,32,,41,34,31,53,32,32,46,28,33,34,32,44,34,31,41,45,32,26,39
319203328736,44,41,,,,,38,,,42,,47,43,43,47,,60,45,36,41,36,,,59,48
241223081737,36,,,,,,,,,,35,,37,,34,34,,66,,34,,28,25,,
235887927049,65,79,86,61,,,77,77,,49,64,122,60,66,45,57,66,46,42,87,59,70,58,72,87
93550026505,41,,,,,,,,,,,,,45,,,42,,,36,,,,,
203876998921,29,36,,,41,,,,,,,,37,,37,,,,,31,,,,13,
279508435680,54,52,68,58,63,56,59,66,56,64,55,53,49,49,48,48,54,54,46,61,71,43,63,44,58
118514523913,58,56,53,,71,66,58,59,58,58,58,59,58,55,54,58,65,69,57,57,54,53,,58,53
102509059849,66,,,,,,,,,,,67,,,,64,,,,,,,,,
86503595785,54,,,,,,,,,,,,63,,,,,,,47,,,,,
81168441097,58,46,,,40,,,,,,,44,,,,,,,73,,,,,,76
302459667168,74,75,87,76,84,84,88,90,80,85,82,79,76,75,64,76,67,76,69,46,61,64,74,71,82
70498131721,36,,,,,,,41,39,34,,,,,34,,36,,32,28,,47,35,,
291789357792,57,42,107,37,,,,,,58,58,64,51,60,61,48,68,59,55,51,,,48,53,73
53855133449,23,,,,,,,,,,,,,,,27,21,,29,,12,,,22,
270448739040,37,,,,,,,,,,,,10,,31,42,,38,39,,23,,,68,
265113584352,54,56,74,58,66,117,67,56,60,54,66,57,51,53,52,63,50,49,54,47,40,39,43,57,59
102374589152,61,77,52,63,96,,,58,53,65,86,55,54,44,46,72,56,77,64,119,49,60,48,53,53
137069871840,60,44,,,,,,,,53,,,49,,,,,,,86,,,,,
121064407776,65,58,,,,,,,,56,,60,62,,66,54,86,72,95,53,60,60,57,60,69
82879717129,30,,,,,,,,,,,,32,,,,,,,,,,27,,
105058943712,40,36,34,,,,,,43,,53,42,39,42,32,41,39,40,42,35,33,38,50,40,35
268838126304,68,59,,,58,,,68,,76,65,74,64,57,89,67,67,,79,29,66,77,,64,82
78383170272,48,56,57,,49,,65,,59,66,51,59,45,44,44,47,42,37,31,34,27,35,32,45,70
