segment_id,day_avg,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
36071284489,31,22,,,34,,,,,,27,35,,,34,32,26,47,,,,28,49,28,
295681671904,68,,62,,,,,,,,53,58,58,49,72,58,40,,41,48,48,222,61,54,48
172939812617,29,60,,,,,,25,,32,25,31,28,20,25,32,30,24,14,31,,20,31,,42
290178745056,47,52,42,55,48,78,44,49,62,48,48,55,44,47,46,66,40,41,39,41,38,33,48,45,56
30736129801,15,,,,,,,,15,,,,,,,,,,,,,,,,
64525442825,34,40,36,40,,,34,35,38,28,32,28,46,45,30,31,40,35,33,34,32,27,28,27,32
319203328736,42,,,,,,,41,35,39,39,45,51,33,48,42,44,40,49,23,33,54,47,48,43
241223081737,39,,,,,,,,21,39,51,36,50,55,34,43,30,29,59,52,39,21,,,
196629241609,47,,,,,,,,,,,50,57,28,,,,,,,,,,,
279508435680,47,66,48,55,51,62,71,50,34,18,29,47,51,46,34,48,51,47,51,55,46,42,50,54,55
139855142665,22,29,17,,,,,,,,,,,,7,12,25,7,43,,14,7,,,
118514523913,54,57,59,,59,61,,,45,54,49,57,55,54,53,56,45,53,54,56,58,50,56,58,56
329135440608,56,27,,,,,,,,,,,,79,,,,,,,,,,,
81168441097,39,,,,,,,,,31,44,37,42,43,47,39,44,34,38,29,32,37,33,34,
302459667168,68,70,77,84,69,82,81,70,25,18,42,74,74,68,65,69,72,71,74,66,66,72,71,71,81
65162977033,27,,,,,,,,,,28,24,,,,,,,,,,,,,
88214871817,52,,,,,,,51,45,44,48,54,55,59,52,52,57,,,,,53,,58,
270448739040,34,,48,,,,,,,,,,,24,,,40,,22,39,,,,,
33152048905,25,,,,,,,,,,,,,,,26,,,,,24,27,,,
102374589152,46,64,63,68,,,102,,40,21,33,47,63,62,63,54,44,22,8,9,10,18,54,61,66
137069871840,45,,,,,,,,,,,57,40,,46,62,35,42,56,,,43,41,,
82879717129,33,,,,,,,,30,,46,35,31,28,,33,41,,,,31,,,29,
105058943712,40,48,53,44,45,,39,,,,11,30,57,40,38,36,37,40,35,40,44,38,41,47,44
94388634336,29,28,,41,,23,,41,31,29,34,31,22,37,35,16,25,29,26,25,24,22,24,32,30
234478387936,37,40,,,33,40,44,63,,43,39,43,35,44,31,29,26,39,29,21,,11,50,59,53
78383170272,41,49,61,,56,63,65,49,35,31,40,31,37,33,38,37,28,29,7,,,34,50,57,65
62377706208,50,65,53,57,83,55,67,50,29,47,46,62,53,53,39,34,43,57,49,39,30,56,49,44,51
283769848544,34,,,,,,,,,,,,,,,,,,34,,,,,,
146264039177,33,,,,,,,,,45,,36,27,,28,,,,62,,17,31,20,,
263502971616,70,85,78,68,87,,82,77,75,74,77,75,73,74,80,78,76,68,46,29,34,71,73,94,88
106569146121,73,,,,,,,,85,,,68,66,,111,,72,59,55,,,,,,
99120062217,31,,20,,,,,47,25,28,31,34,9,20,28,26,49,,38,,,55,,42,76
292527555296,54,56,,,,,47,44,50,54,57,64,47,74,43,,45,77,,48,55,46,50,51,90
238672944905,22,,,,,,,,,,,,,,,20,,22,,39,16,,,13,
252832662240,35,51,55,,56,,,,,,,19,,18,18,,,,7,10,24,,73,74,
27179360009,46,41,60,51,56,55,44,59,55,36,56,46,55,23,47,35,49,34,36,13,35,44,45,49,67
281857245920,69,,,61,,,,,,,61,76,74,,75,73,49,,63,,,,67,76,
215017070345,23,,,,,,,,,,,,,,,,,,23,12,37,,,,
209681915657,44,,,37,42,45,62,,36,,42,45,54,30,45,28,45,21,48,81,37,45,52,36,56
204346760969,44,,,,,,,39,54,43,45,,43,46,30,,,41,43,,,,,54,
193676451593,48,,,,,,,,32,34,,113,44,59,44,,,41,,36,,,63,,
188341296905,42,40,,,,,,,37,,39,40,34,43,38,56,37,36,39,43,36,53,52,,
228002635529,56,,,,,,,,,,32,76,54,,,,,,69,,,,,,44
108313976585,41,,,,,,,,,,,,,,50,,,,,,,36,37,50,
310881829600,39,33,99,,45,,,32,47,47,49,42,63,,,32,30,37,23,26,23,33,50,45,30
313599738592,28,37,35,32,,29,,42,30,25,29,25,28,21,22,22,17,28,26,26,27,29,27,24,35
308264583904,64,60,,,,,,,,,,52,60,103,61,,50,62,,71,,74,,59,
70967893769,17,,,,,,,,,,,,,,,,,,,17,,,,,
60297584393,23,24,,,,,,31,,13,10,25,26,23,29,28,23,23,,,17,21,26,22,
44292120329,22,,,,,,24,,,18,25,19,,,24,,,,,,,,,,
265583346400,63,,,,,,,,,,,78,58,,64,60,61,56,,,,,65,62,
244242727648,32,,,,,,,,30,,,,29,25,36,59,43,29,35,35,16,36,39,27,40
233572418272,47,,,,,,36,,24,24,68,39,36,52,50,62,58,48,62,32,,68,48,25,
222667480841,30,51,,,,,,,41,12,42,40,33,20,36,34,,34,47,54,10,27,34,34,
271186936544,26,,42,,12,,,19,22,14,32,15,19,25,18,22,37,23,21,19,39,,27,21,37
73517777632,59,59,93,63,53,,59,63,,69,61,60,52,59,58,57,55,61,51,57,54,61,59,55,61
254208393952,46,37,54,40,53,45,51,55,51,49,54,42,43,61,44,50,47,48,40,40,41,47,36,54,41
217332326153,35,,,,,,,32,,,25,39,38,,39,21,29,44,,,,48,35,33,
231492043488,65,83,86,76,90,76,83,93,73,76,80,70,72,73,74,69,64,43,15,19,23,23,65,70,78
211997171465,30,,,,,,,,,,,27,,,,,,54,,,,25,,,31
260516627168,44,,39,59,,,46,30,,,60,30,43,39,55,,45,44,95,28,28,57,,67,22
256389432032,59,68,69,69,52,66,72,62,69,62,64,73,62,64,62,53,55,57,49,47,47,50,55,61,68
206662016777,35,,27,,,,,,45,16,30,37,31,32,,,77,33,19,,32,,34,26,55
255181472480,34,18,,,67,,30,18,35,31,44,41,35,37,43,27,33,42,28,40,27,32,38,26,35
63887908617,34,,,,,,,,33,39,,34,,38,31,32,,,,,,,,,
284206056160,50,,,95,,,,49,44,,46,,,,,,,80,,27,,34,,,
297426502368,68,,,,,,,,,,,,,,,,,,,,,72,58,75,
127272230665,28,26,34,34,32,56,59,32,24,22,25,29,23,37,28,26,30,26,11,11,14,22,32,30,27
244511163104,23,42,,,,,,,,,31,24,,13,25,,27,25,20,6,7,,36,40,34
92778274569,30,,,,,,,,,,21,25,23,28,,,33,37,23,,12,23,81,21,26
314069500640,68,84,83,81,83,80,95,64,25,39,56,62,63,70,72,65,69,58,56,60,69,71,72,77,82
298064036576,47,50,,54,,45,,,,,49,43,,,47,,38,60,,,,57,43,36,41
44761882377,30,,,,,,,,,,,,32,,,,,,,28,,,,,
53217599241,35,,,,,,,,25,28,29,,,79,29,,,28,,39,,,,,
260717953760,79,79,,,,,81,75,76,80,79,78,85,81,79,80,79,76,79,73,78,78,75,76,83
273535746784,31,37,29,43,47,,29,33,15,67,24,26,30,34,31,31,31,24,24,27,21,28,35,32,43
148679705312,67,68,81,67,76,,,,75,,71,74,69,67,74,67,64,59,61,70,47,57,70,67,74
132674241248,43,,,,,,,,,,,35,,,,,,53,42,,,,,,
127339086560,53,,,,,,,,,,49,62,33,,44,,70,52,,,,46,,54,
122003931872,70,,,,,,,,,,,,72,,,,,64,61,,,89,,,
