segment_id,day_avg,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
246390211296,29,,,,,,,,,,30,,,,,,,,22,,,,34,,
211594518281,27,47,,,,,,,,,,,,,,,,15,,,,,,,
200924208905,56,,,,,,,,,,,,,,,,,56,,,,,,,
184918744841,32,,22,,,,,,28,,29,77,,26,31,28,20,33,28,30,29,30,43,,
136902352649,29,,,,,,,,,,,,,,,,,29,,,,,,,
115561733897,48,,,,,,,,,,,29,,53,39,,,75,,,,46,43,57,
192535600905,51,92,49,,,,,87,41,68,46,,59,46,44,45,44,,41,40,45,51,55,42,44
320847495904,52,13,,,,,,,,69,74,,71,,,31,,52,,38,45,56,,,
315512341216,66,71,74,103,,89,79,75,,103,86,74,79,75,63,69,73,31,19,50,63,54,33,13,65
304842031840,44,,,,,,,,,,,,16,44,,,,97,14,,,,,38,
103616103136,61,65,50,75,72,112,73,63,67,52,59,70,57,64,52,55,64,79,58,56,48,53,50,47,53
262160794336,65,74,82,85,81,86,83,89,77,83,76,67,68,62,67,68,46,70,48,58,45,52,53,44,78
240820175584,76,,,,,,,,,,76,,,,,76,,,,,,,,,
49761492745,50,48,73,82,,,,45,,,,42,44,40,45,41,33,74,42,49,31,,46,57,48
134117081824,38,50,50,44,56,49,49,46,,54,27,40,29,39,27,25,40,42,65,43,34,32,21,15,20
98280948448,37,47,41,,,,,,,,,,,,38,,34,36,29,34,,,,27,
118111617760,46,45,46,44,,,65,53,43,57,58,42,46,44,45,44,48,55,46,44,43,36,37,38,49
112776463072,71,80,,,,,88,,,85,68,61,77,69,74,79,74,77,63,64,57,69,70,62,
107441308384,52,50,,,,,,,60,55,53,48,55,51,55,52,36,55,61,50,50,46,50,52,61
102106153696,55,43,44,53,,,,72,61,69,56,58,55,62,49,51,54,58,52,61,65,45,53,39,50
96770999008,47,,,,,,,,,,,,,,,,,,,,,47,,,
86100689632,42,35,41,,,,,,,41,,,,,41,56,39,45,35,37,,,,,
80765534944,70,62,,,,,,,45,74,70,69,56,108,70,68,78,62,94,74,67,57,,70,63
75430380256,68,,,,,,,,,,,,,,,,68,,,,,,,,
64760070880,66,57,51,62,73,120,82,102,,,74,64,74,,,65,70,63,55,59,46,56,57,,
78786076425,38,,,,,,,,,,,,,43,,40,,35,32,40,,,,,
299104223968,45,,,,,,,,,46,47,,,,,59,49,35,40,,,45,,,
115494372064,24,,,,,,,,,,,,,27,,,,20,,27,,16,20,28,
176530136841,38,38,40,38,46,56,56,53,45,61,53,37,43,39,39,34,34,33,31,33,32,36,39,34,42
87610639072,48,64,,53,,58,,38,36,6,34,40,40,47,52,46,54,52,48,56,,50,55,56,58
205554720521,45,,,,,,,,,21,41,,,,,,36,93,,,,33,21,,
322793652960,62,47,,41,,,,,58,69,,67,,,,77,,59,,,,74,,58,
200219565833,35,79,,,38,,,,,,,,22,38,,45,18,40,,,34,,31,35,27
248739021536,74,63,77,82,77,77,,,79,74,90,77,71,76,77,78,73,80,71,73,75,70,62,64,74
276589200096,37,33,,37,,,,,,,,,48,33,,48,36,,,,32,,,,
244075208457,37,59,,,,,,39,,,,,,,47,45,,22,38,27,,29,,30,
228069744393,32,,,26,,41,,,,,32,,29,23,27,33,35,29,,19,,19,96,,
222734589705,95,,,,,,138,,,,,,107,,,,102,,,,,,,48,
217399435017,35,42,,,,,,,44,35,43,22,39,36,36,32,39,,33,46,22,32,31,33,45
206729125641,33,,48,,,,,,,27,24,51,,44,31,31,33,,27,,,,,23,
185388506889,23,,,,23,,,,,,,,,,,,,,,,,,,,
