segment_id,day_avg,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
263670743776,38,73,68,,,90,72,53,13,15,18,17,30,21,54,55,16,6,3,,5,9,58,68,75
104220335881,28,,,,,,,,,,,,,,,,40,,,,7,,,33,
290178745056,43,42,38,52,53,57,34,38,42,15,,50,48,45,53,46,34,22,60,21,39,47,42,38,38
30165704457,31,16,,,,,,,,,,36,,,31,,,,,,,,,39,
319203328736,43,45,59,52,,,,,51,43,36,36,46,42,,43,29,,42,,,,50,58,42
241223081737,33,,,,,,,34,29,38,35,,,26,,31,,36,33,,31,,,,26
93550026505,25,26,,,,,,,,,,,,,,23,,,,,,,,,
203876998921,30,,,,,,,,,40,,,,,,,,,,,,,,12,
279508435680,45,74,89,60,53,61,43,49,31,8,24,37,51,41,44,49,49,41,42,64,57,44,43,49,52
139855142665,8,8,,,,,,,,,8,,,8,,,9,,,,,,,5,
118514523913,49,54,,,,,,52,39,,47,60,52,50,36,32,40,51,41,,,53,51,51,56
329135440608,26,11,,,,,,,,,,,,,,,,,,,,,,42,
81168441097,43,,,,,,,,,38,36,53,41,39,29,38,33,,85,,42,,27,,
302459667168,58,75,70,,69,,,70,31,22,24,42,68,61,69,69,67,45,19,,,34,65,84,65
53855133449,24,,,,,,,,,,,,,,,28,,,20,26,,17,,28,
270448739040,40,,,,,,44,,,30,,,,,,50,37,,,,,,,,
265113584352,53,55,76,72,,68,29,56,43,59,53,47,57,64,35,46,51,45,44,45,46,46,81,48,46
102374589152,40,59,,53,,,74,44,37,,21,30,61,51,58,55,26,12,8,6,14,7,24,25,49
137069871840,42,,,,,,,,,,40,,,,,,49,34,,,,,,,
82879717129,33,,,,,,,,,,34,,,,,31,,,,,,,,,
234478387936,33,,,,,,,,,40,62,43,39,28,,36,24,,,16,,9,16,,32
78383170272,32,57,,,,,,43,,30,37,40,,13,23,30,19,18,8,,,,11,,53
62377706208,52,74,60,,,,45,80,51,47,59,24,52,45,48,66,51,60,,43,49,42,44,45,55
146264039177,26,6,,,,,,,,24,,,,65,,,,,,,,,,17,
297862709984,69,64,69,,,,,,82,,71,153,54,72,73,72,58,,57,58,66,61,70,65,64
244008099593,63,,,,,,,,63,,,,,,,,,,,,,,,,
99120062217,36,45,,,,,42,,,50,18,50,42,29,37,,,25,,,,,,23,
292527555296,48,,,,,32,,,64,45,81,,40,58,,57,,53,,,,26,,,
238672944905,16,,,,,,,,,,,19,,,,,,,,,,14,,17,
252832662240,27,,,,,,,,21,,,,,29,,,,,,,,21,,25,44
27179360009,47,65,63,50,91,65,,35,22,48,36,45,44,24,57,36,41,56,,8,,16,11,42,77
281857245920,53,,,,,,,,,,,,,,,,,46,60,,,,,,
209681915657,52,142,,,30,40,67,,,36,53,34,47,53,47,,,27,,,43,,63,43,27
204346760969,48,,,,,,,,,,55,42,54,39,,,44,58,,,,,,,
199011606281,15,,,,,,,,,,,,15,,,,,,,,,,,,
193676451593,46,,,,,,,,,99,,,36,,,,,,31,,,,,,
188341296905,37,41,,39,,,,,,34,40,,38,52,29,,39,,,30,,,28,,31
228002635529,24,,,,,,,,,,,,,,,,12,44,30,,,,,,
108313976585,40,,,,,,,,,,33,,,,,,,,,,,,,46,
310881829600,44,,,,,,,34,,44,45,56,,,49,1,51,,,,,,,36,
92308512521,31,,,,,,,,17,,,,87,,8,,,,,63,,,,16,
49627275017,35,,,,,,,,,,,24,37,,,,,23,,,,,47,48,
233572418272,36,,,,,,,,,,,24,31,,31,,66,,29,29,,,41,,
188307742473,38,,,,,,,,,,,,35,,25,,50,,,48,46,31,34,41,
271186936544,22,15,,,,,,,,30,,,24,19,26,22,,32,,18,,,,11,
254208393952,38,29,40,,,34,41,,29,26,43,41,34,45,41,35,40,32,,35,48,42,43,36,43
295010583264,43,,,,,,,,,,44,59,46,,,38,41,,,,,,18,,
217332326153,23,,,,,,,,,,,,,,11,18,28,,26,,18,,27,40,
231492043488,57,82,79,75,77,,89,77,78,78,71,70,67,52,43,66,34,19,20,,16,15,21,40,57
211997171465,23,,,,,,,,,,,,,,23,,,,,,,,,,
260516627168,36,,35,,,,20,,,,,45,18,,,44,,43,,,22,,106,,
63988571913,37,42,38,,,,,,38,33,37,43,36,45,34,39,45,34,29,28,25,39,40,25,39
206662016777,30,23,,,,,,110,,,35,32,14,,,,27,,,,,9,20,16,17
255181472480,32,34,,,,,,,40,38,31,29,28,30,32,31,,33,,28,46,19,23,36,41
