segment_id,day_avg,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
263670743776,38,92,74,64,84,81,88,71,15,13,14,15,15,13,59,15,23,27,10,5,13,64,72,69,73
69860597513,53,132,53,,,,,,,47,49,45,51,48,50,47,52,53,51,54,51,,46,,59
290178745056,52,46,59,57,42,57,59,35,,,55,71,54,53,52,55,43,190,55,41,29,38,39,42,58
64525442825,31,68,,,19,,37,28,36,28,36,28,28,25,29,28,29,29,26,36,32,32,27,21,33
284843590368,42,47,45,46,,,42,,,,83,38,,35,39,,35,,18,,,,15,,
241223081737,35,35,41,,,,33,,34,35,35,28,40,31,38,32,37,33,,,38,36,,35,
127909764873,65,,,,,,,,,,65,,,,,,,,,,,,,,
203876998921,38,,,37,,,,,,,31,,,,,32,33,49,40,,,,,,40
279508435680,46,55,58,64,52,65,54,53,31,14,16,43,49,45,48,42,35,46,45,39,38,33,49,49,59
182536380169,38,54,27,,,,,,,33,38,33,30,53,41,76,46,22,28,29,38,38,31,29,24
139855142665,16,9,,,,,,,,,24,,,,,,,,,,,,,,
118514523913,53,40,60,,,,,57,,,56,57,52,55,49,46,52,55,55,54,45,53,54,56,55
329135440608,57,,,55,,,,,53,,,,,,63,,,,57,,,,,,
81168441097,40,,,,,,,,,,28,33,,,37,36,44,64,48,,39,,,,
302459667168,60,80,81,82,86,91,,71,24,25,22,40,67,70,47,18,35,63,70,74,,65,68,71,73
53855133449,26,,,,,,,,,,22,,,30,35,,25,,,,,14,,24,
270448739040,41,40,,,,,,,,43,,,,,,,,,,,,,,,
102374589152,36,50,50,54,,,,,41,23,30,23,54,36,50,22,25,18,7,8,35,22,36,47,54
227767501536,29,51,44,32,,45,,41,28,13,17,18,22,,28,28,31,43,21,,9,27,28,16,35
137069871840,79,106,,,,,,,,,,105,,,,,41,,,,,,,,
131734717152,58,58,,,,,67,,,,,,,59,,,,52,,,3,,,,113
82879717129,36,,,,,,,,,32,,29,,,,32,42,,,,,,,,
234478387936,39,49,41,49,46,41,,,,34,,35,37,24,,38,40,17,,21,11,14,15,37,97
78383170272,37,54,66,,,,55,,,19,26,27,33,37,36,27,14,25,20,,,,45,48,66
62377706208,50,62,68,71,55,,66,,38,49,52,49,56,43,30,50,55,41,45,44,13,34,56,45,55
146264039177,49,,,,,,,,,,,49,,,,,,,,,,,,,
297862709984,72,132,,,,90,,,,,72,74,66,47,64,57,63,79,,52,51,60,90,66,71
106569146121,59,,,,,,,,,,,,61,,,,65,,54,,,,,,
99120062217,44,,,57,,,,,39,,43,42,43,38,,,30,,,,,,,50,61
292527555296,58,,,,,51,,,57,61,73,57,55,40,,,62,67,59,41,,,,52,
238672944905,24,30,,,,,,,12,19,,,53,,,,2,,,,,,,,
252832662240,40,46,,,,,,,,,48,22,,,53,,28,34,,36,,,,,
27179360009,50,45,58,52,72,73,,54,49,43,50,45,50,40,62,54,58,50,40,25,101,38,48,47,43
281857245920,61,,,,,,,,,,52,,,67,,,,,,,,,,,
209681915657,49,,,37,,30,,,43,,44,55,72,109,50,68,31,37,31,36,,58,50,28,28
204346760969,56,,,,,,,,,70,41,61,37,,,,70,,60,,,,,,
193676451593,48,,,,,,,,,,,,31,,,,,,40,,,,93,,
188341296905,42,37,,,,,,,,,33,72,44,38,,43,,38,41,,36,,,38,
228002635529,53,,,,,,,,,,,,,,,,69,41,,,,59,,39,
108313976585,58,,,,,,,,,,58,,,,,,,,,,,,,,
310881829600,33,,,,,,,,19,,39,,35,53,,37,28,,,39,,,,20,
318934893280,68,69,,,,,,59,59,72,57,78,72,,70,76,74,74,,,55,66,57,82,
49627275017,40,,,,,,,45,,,,,,33,,38,,48,,,,,,,
44292120329,26,,,,,,,,,19,,34,,,,,,,,,,,,,
233572418272,48,,,,,,,,,,,,,69,,35,40,,,,,,,,
188307742473,39,,,,,,,,,,,,39,,27,37,,48,48,27,,,,,
271186936544,26,29,,,32,,,,,57,23,,43,19,19,27,25,,22,27,29,,17,16,12
254208393952,46,35,42,,,41,,,43,39,44,43,52,47,40,53,38,38,49,42,50,30,132,42,52
217332326153,30,,,,,,,,,,,34,33,,,,30,28,26,,,,,,
231492043488,63,78,79,73,76,80,95,,72,78,74,69,63,71,71,73,58,36,18,21,16,19,73,66,68
211997171465,33,,,,,,,,,,,,,,,,,,,,,,,33,
260516627168,52,,75,,,,,,34,,23,39,48,74,40,95,61,,38,61,,,,,51
63988571913,37,45,,,,,,,41,36,40,38,35,35,25,36,36,39,37,31,61,34,41,36,47
103482138377,27,,,,,,,,,,24,59,6,,,,,,,,,,,,
206662016777,25,33,,,,,,,,,30,,17,31,27,,11,25,29,,,,15,,
255181472480,36,66,,,,,,,,28,36,39,40,44,26,25,52,40,23,27,54,25,35,,
63887908617,31,,,,,,,,,,33,,28,,,,,32,,,,,,,
284206056160,35,,,,,,,,,,,,,,,,,,,33,,,,,37
265415574240,47,46,,,,,,,,,,71,42,57,28,,,,33,71,28,,,47,
292091347680,47,,,63,,,50,,,,,,,26,80,22,,,,,,,,,
127272230665,30,46,55,29,24,59,41,40,15,21,16,32,34,28,32,33,26,22,14,65,9,19,20,28,49
244511163104,28,48,,40,,,,,,,,,,,,49,,,6,4,,4,27,,32
