segment_id,day_avg,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
263670743776,46,75,71,82,,,82,54,13,19,14,15,47,13,56,21,23,59,8,8,85,77,80,75,71
69860597513,52,63,,,,,,,,,52,46,58,55,55,49,46,48,54,48,55,50,,60,55
324538483424,32,42,,40,,,,,,,,,,,,,,13,,,,,,,
64525442825,31,29,61,,,,,32,39,23,35,29,31,22,21,18,30,31,28,38,24,38,40,35,43
319203328736,36,,,,,,,,40,,33,50,30,47,36,36,42,40,48,23,31,43,50,,
241223081737,32,,,,,,,35,38,32,26,,,35,,26,29,37,34,,33,,,,
59190288137,53,,,,,,,,,,48,,,,,52,,,65,,44,,,,
203876998921,35,,,,38,,,,29,,42,,,30,40,,,,33,,,,,,
279508435680,44,54,53,56,51,53,68,56,28,18,17,41,52,56,66,48,60,45,40,41,42,39,48,68,50
123849678601,40,,,,,,,,,,43,,36,20,54,35,31,31,58,,50,,48,42,44
118514523913,56,58,60,,,,,59,,,49,56,53,56,47,59,50,62,62,66,,58,56,50,
329135440608,47,,,,,,,32,,,,,,23,38,,,,,84,,,,39,54
81168441097,43,28,,,62,,,41,36,46,,37,23,41,78,,44,45,39,36,23,,37,,
302459667168,59,79,74,82,,77,,72,28,19,24,53,62,65,68,38,68,64,51,58,68,70,68,69,74
65162977033,42,,,,,,,,,,,42,,,,,,,,,,,,,
53855133449,26,,,,,,,,,,,,,,,24,,,19,,,33,,,
54492667657,32,,,,,,,,6,,,,,45,27,28,,40,,,22,52,,,
270448739040,55,,,41,,,,,,,,,,,,68,,,38,,,,83,,59
265113584352,50,57,,65,,46,57,49,,34,44,46,50,47,45,48,46,58,56,79,50,39,54,53,54
136734327520,46,65,74,66,62,78,68,43,48,29,41,47,58,50,47,43,40,42,40,35,28,43,41,50,51
227767501536,26,28,40,30,,35,,,22,13,25,27,22,33,32,,55,18,,21,13,30,25,21,31
